Time,Trade_ID,Action,Symbol,Strategy,Entry_Price,SL_Price,TP1_Price,TP2_Price,Exit_Price,Exit_Reason,Stage,PnL_USDT,ATR_val,ATR_Pct,ADX,Leverage,Size,Margin_USDT
2026-05-28 00:15:57,R1779898555_LABUSDTUSDT,EXIT,LAB/USDT:USDT,BREAKOUT,4.4191,,,,4.2667,SL,0,-0.3,0.152364,3.448,0,1,2.0,8.84
2026-05-28 00:15:57,R1779898556_SOONUSDTUSDT,PARTIAL_TP2,SOON/USDT:USDT,BREAKOUT,0.1847,,,,0.1944,TP2,2,1.1,0.002414,1.307,0,1,113.39999999999999,
2026-05-28 00:15:57,R1779898556_1000LUNCUSDTUSDT,PARTIAL_TP2,1000LUNC/USDT:USDT,BREAKOUT,0.0926659413999,,,,0.09756,TP2,2,2.71,0.001224,1.321,0,1,552.9,
2026-05-28 00:15:57,R1779898556_FILUSDTUSDT,PARTIAL_TP2,FIL/USDT:USDT,BREAKOUT,1.073,,,,1.141,TP2,2,1.15,0.017071,1.591,0,1,16.95,
2026-05-28 00:16:18,R1779898556_SOONUSDTUSDT,EXIT,SOON/USDT:USDT,BREAKOUT,0.1847,,,,0.185,TRAIL,2,1.21,0.002414,1.307,0,1,378.0,69.82
2026-05-28 00:16:19,R1779898556_1000LUNCUSDTUSDT,EXIT,1000LUNC/USDT:USDT,BREAKOUT,0.0926659413999,,,,0.09279,TRAIL,2,2.94,0.001224,1.321,0,1,1843.0,170.78
2026-05-28 00:16:19,R1779898556_FILUSDTUSDT,EXIT,FIL/USDT:USDT,BREAKOUT,1.073,,,,1.087,TRAIL,2,1.94,0.017071,1.591,0,1,56.5,60.62
2026-05-28 00:26:22,R1779898913_LABUSDTUSDT,PARTIAL_TP1,LAB/USDT:USDT,BREAKOUT,4.4191,,,,4.7511,TP1,1,0.27,0.160129,3.624,0,1,0.8,
2026-05-28 01:15:40,R1779898913_FILUSDTUSDT,EXIT,FIL/USDT:USDT,BREAKOUT,1.073,,,,1.054,SL,0,-1.07,0.018286,1.704,0,1,56.5,60.62
2026-05-28 02:06:51,R1779898913_SOONUSDTUSDT,EXIT,SOON/USDT:USDT,BREAKOUT,0.1847,,,,0.1822,SL,0,-0.95,0.00245,1.326,0,1,378.0,69.82
2026-05-28 02:53:52,R1779898913_LABUSDTUSDT,EXIT,LAB/USDT:USDT,BREAKOUT,4.4191,,,,4.4028,BREAKEVEN,1,0.25,0.160129,3.624,0,1,1.2,8.84
2026-05-28 03:06:21,R1779898913_1000LUNCUSDTUSDT,EXIT,1000LUNC/USDT:USDT,BREAKOUT,0.0926659413999,,,,0.09138,SL,0,-2.37,0.001261,1.361,0,1,1843.0,170.78
