Time,Action,Symbol,Strategy,Trade_ID,BTC_Trend,ADX_1h,ATR_Pct,Micro_Score,Micro_Vol_USDT,Is_Burst,Is_Compressed,Vol_Rank,EMA_Extension,Entry_Efficiency,Config_JSON,Entry_Price,Leverage,Reject_Reason,Exit_Reason,Exit_Price,PnL_USDT,Max_Favorable_Price,Max_Adverse_Price,SL_Dist_ATR,Hour_TW,Weekday,Pullback_Vol_Ratio,Eval_15m_Pct,Eval_1h_Pct,Eval_4h_Pct
2026-05-09 22:02:19,REJECTED,ETC/USDT:USDT,BREAKOUT,,Bullish,29.38,0.0036,0,0.0,0,1,2.0,0.0,0.0,{},9.5,0,Poor Efficiency (1.26 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-09 22:03:19,REJECTED,CRV/USDT:USDT,BREAKOUT,,Bullish,25.26,0.0038,0,0.0,0,1,4.0,0.0,0.0,{},0.2478,0,Poor Efficiency (0.75 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-09 22:07:19,REJECTED,BERA/USDT:USDT,BREAKOUT,,Bullish,22.97,0.0048,0,0.0,0,1,4.0,0.0,0.0,{},0.3956,0,Poor Efficiency (0.52 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-09 22:08:44,REJECTED,RIVER/USDT:USDT,BREAKOUT,,Bullish,41.0,0.0085,0,0.0,0,1,4.0,0.0,0.0,{},6.458,0,Poor Efficiency (0.51 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-09 22:11:19,REJECTED,SAND/USDT:USDT,BREAKOUT,,Bullish,31.88,0.0047,0,0.0,0,1,1.0,0.0,0.0,{},0.08062,0,Poor Efficiency (1.07 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-09 22:19:20,REJECTED,KITE/USDT:USDT,BREAKOUT,,Bullish,22.87,0.0098,0,0.0,0,1,3.0,0.0,0.0,{},0.16958,0,Poor Efficiency (3.48 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-09 22:28:21,REJECTED,B/USDT:USDT,BREAKOUT,,Bullish,29.46,0.0408,0,0.0,0,1,2.0,0.0,0.0,{},0.384,0,Poor Efficiency (6.14 ATR),,0.0,0.0,0.0,0.0,0.0,22,5,0.0,,,
2026-05-10 01:04:18,REJECTED,XMR/USDT:USDT,BREAKOUT,,Bullish,25.33,0.0064,0,0.0,0,1,1.0,0.0,0.0,{},409.84,0,Poor Efficiency (3.35 ATR),,0.0,0.0,0.0,0.0,0.0,1,6,0.0,,,
2026-05-10 01:05:20,REJECTED,DOGE/USDT:USDT,BREAKOUT,,Bullish,23.62,0.0034,0,0.0,0,1,1.0,0.0,0.0,{},0.10902,0,Poor Efficiency (2.72 ATR),,0.0,0.0,0.0,0.0,0.0,1,6,0.0,,,
2026-05-10 02:25:18,REJECTED,RIVER/USDT:USDT,BREAKOUT,,Bullish,35.87,0.0136,0,0.0,0,1,5.0,0.0,0.0,{},6.544,0,Poor Efficiency (3.08 ATR),,0.0,0.0,0.0,0.0,0.0,2,6,0.0,,,
2026-05-10 03:05:19,REJECTED,DOT/USDT:USDT,BREAKOUT,,Bullish,23.73,0.0038,0,0.0,0,1,1.0,0.0,0.0,{},1.35,0,Poor Efficiency (2.56 ATR),,0.0,0.0,0.0,0.0,0.0,3,6,0.0,,,
2026-05-10 03:23:17,REJECTED,BANANA/USDT:USDT,BREAKOUT,,Bullish,31.28,0.038,0,0.0,0,1,3.0,0.0,0.0,{},4.909,0,Poor Efficiency (3.97 ATR),,0.0,0.0,0.0,0.0,0.0,3,6,0.0,,,
2026-05-10 04:11:18,REJECTED,ENS/USDT:USDT,BREAKOUT,,Bullish,23.51,0.0042,0,0.0,0,1,1.0,0.0,0.0,{},6.787,0,Poor Efficiency (1.27 ATR),,0.0,0.0,0.0,0.0,0.0,4,6,0.0,,,
2026-05-10 05:02:17,REJECTED,TRX/USDT:USDT,BREAKOUT,,Bullish,20.32,0.0013,0,0.0,0,1,1.0,0.0,0.0,{},0.35072,0,Poor Efficiency (2.55 ATR),,0.0,0.0,0.0,0.0,0.0,5,6,0.0,,,
2026-05-10 05:14:18,REJECTED,SAND/USDT:USDT,BREAKOUT,,Bullish,22.27,0.0027,0,0.0,0,1,1.0,0.0,0.0,{},0.08043,0,Poor Efficiency (2.74 ATR),,0.0,0.0,0.0,0.0,0.0,5,6,0.0,,,
2026-05-10 08:21:19,REJECTED,KAT/USDT:USDT,BREAKOUT,,Bullish,40.35,0.0071,2,2732.0,0,1,5.0,0.0,0.0,{},0.01001,0,"量不足(2,732<20,000)",,0.0,0.0,0.0,0.0,0.0,8,6,0.0,,,
2026-05-10 10:19:19,REJECTED,ORDI/USDT:USDT,BREAKOUT,,Bullish,36.86,0.0069,0,0.0,0,1,3.0,0.0,0.0,{},5.569,0,Poor Efficiency (2.20 ATR),,0.0,0.0,0.0,0.0,0.0,10,6,0.0,,,
2026-05-10 10:38:17,REJECTED,BABY/USDT:USDT,BREAKOUT,,Bullish,30.43,0.011,0,0.0,0,1,5.0,0.0,0.0,{},0.01833,0,Poor Efficiency (3.02 ATR),,0.0,0.0,0.0,0.0,0.0,10,6,0.0,,,
2026-05-10 11:03:18,REJECTED,AVAX/USDT:USDT,BREAKOUT,,Bullish,22.6,0.0035,0,0.0,0,1,1.0,0.0,0.0,{},9.927,0,Poor Efficiency (2.34 ATR),,0.0,0.0,0.0,0.0,0.0,11,6,0.0,,,
2026-05-10 11:30:18,REJECTED,API3/USDT:USDT,BREAKOUT,,Bullish,29.74,0.0126,0,0.0,0,1,3.0,0.0,0.0,{},0.3732,0,Poor Efficiency (0.83 ATR),,0.0,0.0,0.0,0.0,0.0,11,6,0.0,,,
2026-05-10 12:42:01,REJECTED,TRUTH/USDT:USDT,BREAKOUT,,Bullish,39.99,0.0398,0,0.0,0,1,2.0,0.0,0.0,{},0.011657,0,Poor Efficiency (2.19 ATR),,0.0,0.0,0.0,0.0,0.0,12,6,0.0,,,
2026-05-10 13:03:18,REJECTED,AVAX/USDT:USDT,BREAKOUT,,Bullish,20.35,0.003,0,0.0,0,1,1.0,0.0,0.0,{},9.897,0,Poor Efficiency (1.74 ATR),,0.0,0.0,0.0,0.0,0.0,13,6,0.0,,,
2026-05-10 15:01:19,REJECTED,1000BONK/USDT:USDT,BREAKOUT,,Bullish,24.83,0.0037,0,0.0,0,1,3.0,0.0,0.0,{},0.007171,0,Poor Efficiency (0.95 ATR),,0.0,0.0,0.0,0.0,0.0,15,6,0.0,,,
2026-05-10 15:02:18,REJECTED,ETC/USDT:USDT,BREAKOUT,,Bullish,21.55,0.0039,0,0.0,0,1,1.0,0.0,0.0,{},9.657,0,Poor Efficiency (1.68 ATR),,0.0,0.0,0.0,0.0,0.0,15,6,0.0,,,
2026-05-10 15:04:19,REJECTED,BERA/USDT:USDT,BREAKOUT,,Bullish,20.52,0.0045,0,0.0,0,1,5.0,0.0,0.0,{},0.3963,0,Poor Efficiency (4.65 ATR),,0.0,0.0,0.0,0.0,0.0,15,6,0.0,,,
2026-05-10 16:06:19,REJECTED,PUMP/USDT:USDT,BREAKOUT,,Bullish,20.68,0.0051,0,0.0,0,1,1.0,0.0,0.0,{},0.002165,0,Poor Efficiency (2.35 ATR),,0.0,0.0,0.0,0.0,0.0,16,6,0.0,,,
2026-05-10 17:01:20,REJECTED,ETC/USDT:USDT,BREAKOUT,,Bullish,24.85,0.0042,0,0.0,0,1,4.0,0.0,0.0,{},9.692,0,Poor Efficiency (2.42 ATR),,0.0,0.0,0.0,0.0,0.0,17,6,0.0,,,
2026-05-10 17:34:18,REJECTED,W/USDT:USDT,BREAKOUT,,Bullish,25.96,0.0135,0,0.0,0,1,3.0,0.0,0.0,{},0.01562,0,Poor Efficiency (3.08 ATR),,0.0,0.0,0.0,0.0,0.0,17,6,0.0,,,
2026-05-10 18:02:18,REJECTED,ENS/USDT:USDT,BREAKOUT,,Bullish,30.42,0.0107,0,0.0,0,1,3.0,0.0,0.0,{},7.004,0,Poor Efficiency (1.41 ATR),,0.0,0.0,0.0,0.0,0.0,18,6,0.0,,,
2026-05-10 18:06:17,REJECTED,OG/USDT:USDT,BREAKOUT,,Bullish,45.89,0.0201,0,0.0,0,1,5.0,0.0,0.0,{},3.587,0,Poor Efficiency (1.50 ATR),,0.0,0.0,0.0,0.0,0.0,18,6,0.0,,,
2026-05-10 18:21:18,REJECTED,MOVE/USDT:USDT,BREAKOUT,,Bullish,27.13,0.013,0,0.0,0,1,4.0,0.0,0.0,{},0.01939,0,Poor Efficiency (2.46 ATR),,0.0,0.0,0.0,0.0,0.0,18,6,0.0,,,
2026-05-10 20:11:17,REJECTED,AVAX/USDT:USDT,BREAKOUT,,Bullish,21.83,0.0036,0,0.0,0,1,1.0,0.0,0.0,{},9.959,0,Poor Efficiency (1.36 ATR),,0.0,0.0,0.0,0.0,0.0,20,6,0.0,,,
2026-05-10 20:59:18,REJECTED,W/USDT:USDT,BREAKOUT,,Bullish,28.49,0.0122,0,0.0,0,1,3.0,0.0,0.0,{},0.01554,0,Poor Efficiency (1.37 ATR),,0.0,0.0,0.0,0.0,0.0,20,6,0.0,,,
2026-05-10 21:18:18,REJECTED,1000LUNC/USDT:USDT,BREAKOUT,,Bullish,27.58,0.0211,0,0.0,0,1,5.0,0.0,0.0,{},0.10007,0,Poor Efficiency (2.71 ATR),,0.0,0.0,0.0,0.0,0.0,21,6,0.0,,,
2026-05-10 22:01:18,REJECTED,ETHFI/USDT:USDT,BREAKOUT,,Bullish,20.93,0.0041,0,0.0,0,1,5.0,0.0,0.0,{},0.454,0,Poor Efficiency (3.41 ATR),,0.0,0.0,0.0,0.0,0.0,22,6,0.0,,,
2026-05-10 22:20:18,REJECTED,BCH/USDT:USDT,BREAKOUT,,Bullish,27.27,0.0019,0,0.0,0,1,5.0,0.0,0.0,{},453.46,0,Poor Efficiency (1.86 ATR),,0.0,0.0,0.0,0.0,0.0,22,6,0.0,,,
2026-05-11 01:53:00,REJECTED,MON/USDT:USDT,BREAKOUT,,Bullish,33.91,0.0089,0,0.0,0,1,2.0,0.0,0.0,{},0.0357,0,Poor Efficiency (1.35 ATR),,0.0,0.0,0.0,0.0,0.0,1,0,0.0,,,
2026-05-11 03:00:20,REJECTED,ARB/USDT:USDT,BREAKOUT,,Bullish,21.62,0.0062,6,25340.0,1,1,1.0,0.0,4.63,{},0.1452,0,Poor Efficiency (4.63 ATR),,0.0,0.0,0.0,0.0,0.0,3,0,0.0,,,
2026-05-11 04:01:00,REJECTED,币安人生/USDT:USDT,BREAKOUT,,Bullish,31.41,0.0333,8,58999.0,1,1,4.0,0.0,4.12,{},0.4495,0,Poor Efficiency (4.12 ATR),,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
2026-05-11 04:19:00,REJECTED,PIPPIN/USDT:USDT,BREAKOUT,,Bullish,28.95,0.009,8,246320.0,1,1,5.0,0.0,0.81,{},0.02619,0,Poor Efficiency (0.81 ATR),,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
2026-05-11 04:29:01,REJECTED,GIGGLE/USDT:USDT,BREAKOUT,,Bullish,34.33,0.015,7,81639.0,1,1,5.0,0.0,2.77,{},40.07,0,Poor Efficiency (2.77 ATR),,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
2026-05-11 04:35:00,REJECTED,SAND/USDT:USDT,BREAKOUT,,Bullish,24.54,0.0079,7,53966.0,1,1,5.0,0.0,2.68,{},0.0833,0,Poor Efficiency (2.68 ATR),,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
2026-05-11 04:38:00,REJECTED,WLD/USDT:USDT,BREAKOUT,,Bullish,33.97,0.0105,7,57592.0,1,1,3.0,0.0,2.92,{},0.2818,0,Poor Efficiency (2.92 ATR),,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
2026-05-11 04:56:05,REJECTED,LTC/USDT:USDT,BREAKOUT,,Bullish,28.52,0.0048,10,2241854.0,1,1,4.0,0.0,-1.56,{},58.39,0,Breakout Failed (eff=-1.56 ATR),,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
2026-05-11 05:01:21,REJECTED,TIA/USDT:USDT,BREAKOUT,,Bullish,22.16,0.0131,6,92791.0,1,1,4.0,0.0,1.34,{},0.4454,0,Poor Efficiency (1.34 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:02:05,REJECTED,ADA/USDT:USDT,BREAKOUT,,Bullish,30.48,0.0076,6,448902.0,1,1,5.0,0.0,-1.0,{},0.278,0,Breakout Failed (eff=-1.00 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:04:01,REJECTED,AVAX/USDT:USDT,BREAKOUT,,Bullish,36.84,0.007,6,448521.0,1,1,1.0,0.0,-0.51,{},10.099,0,Breakout Failed (eff=-0.51 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:10:01,REJECTED,XRP/USDT:USDT,BREAKOUT,,Bullish,33.66,0.007,6,1746545.0,1,1,3.0,0.0,1.25,{},1.4549,0,Poor Efficiency (1.25 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:16:01,REJECTED,1000LUNC/USDT:USDT,BREAKOUT,,Bullish,28.49,0.0135,7,315151.0,1,1,1.0,0.0,0.68,{},0.09893,0,Poor Efficiency (0.68 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:18:00,REJECTED,CRV/USDT:USDT,BREAKOUT,,Bullish,26.13,0.009,7,54495.0,1,1,1.0,0.0,0.78,{},0.2558,0,Poor Efficiency (0.78 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:21:01,REJECTED,SUSHI/USDT:USDT,BREAKOUT,,Bullish,26.77,0.008,7,33465.0,1,1,4.0,0.0,1.77,{},0.2467,0,Poor Efficiency (1.77 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
2026-05-11 05:30:00,REJECTED,ATOM/USDT:USDT,BREAKOUT,,Bullish,32.01,0.0078,7,60556.0,1,1,3.0,0.0,-0.51,{},1.993,0,Breakout Failed (eff=-0.51 ATR),,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
